"Name","Value","Comment"
"C_Reader_TextAlign.Description","Overrides any text alignment preference set in the book to provide consistent layout in the reader","Overrides any text alignment preference set in the book to provide consistent layout in the reader"
"C_Reader_TextAlign.Title","Override text alignment","Override text alignment"
"C_ShowFavs.Content","Show only favorites","Show only favorites"
"CB_Category.ToolTipService.ToolTip","Categories","Categories"
"EBI_Author.Text","Author(s) : ","Author(s) : "
"EBI_Cover1.Content","Select cover","Select cover"
"EBI_Cover2.ToolTipService.ToolTip","Restore original cover","Restore original cover"
"EBI_Description.Text","Description : ","Description : "
"EBI_ErrMsg1","Series number cannot be empty","Series number cannot be empty"
"EBI_ErrMsg2","Series number not valid","Series number not valid"
"EBI_Genre.Text","Genre(s) : ","Genre(s) : "
"EBI_Language.Text","Language(s) : ","Language(s) : "
"EBI_Msg1.Text"," • (s) - Use semi-colon ( ; ) to separate multiple entries."," • (s) - Use semi-colon ( ; ) to separate multiple entries."
"EBI_Publisher.Text","Publisher(s) : ","Publisher(s) : "
"EBI_Series.Text","Series : ","Series : "
"EBI_SeriesNumber.Text","Series Number : ","Series Number : "
"EBI_Title.Text","Edit book information","Edit book information"
"IAP_Discount.Text","20% off","20% off"
"IAP_Popular.Text","Most Popular","Most Popular"
"M_About.Content","About us","About us"
"M_AddBook.Text","Add book file(s)","Add book file(s)"
"M_AddFavourite.Text","Add Favourite","Add Favourite"
"M_AddFolder.Text","Add folder","Add folder"
"M_Backup.Content","Backup & Restore","Backup & Restore"
"M_BookInfo.Text","Book Info","Book Info"
"M_ChngLog.Content","Change log","Change log"
"M_CreationTime.Text","Creation time","Creation time"
"M_Edit.Text","Edit","Edit"
"M_EditBookInfo.Text","Edit Book Info","Edit Book Info"
"M_General.Content","General","General"
"M_OpenBook.Text","Open Book","Open Book"
"M_Personal.Content","Personalization","Personalization"
"M_PinUnpin.Text","Pin/Unpin to Start","Pin/Unpin to Start"
"M_PosInBook.Text","Position in book","Position in book"
"M_Reader.Content","Reader","Reader"
"M_Remove.Text","Remove","Remove"
"M_RemoveFavourite.Text","Remove Favourite","Remove Favourite"
"M_SaveToFile.Text","Save to file","Save to file"
"M_Share.Text","Share","Share"
"M_SyncFolder.Content","Sync folders","Sync folders"
"N_Collections.Content","Collections","Collections"
"N_Feedback.Content","Feedback","Feedback"
"N_Home.Content","Home","Home"
"N_Library.Content","Library","Library"
"N_OnlineBooks.Content","Online Books","Online Books"
"N_Premium.Content","Premium","Premium"
"N_ReportBug.Content","Report bug","Report bug"
"N_Settings.Content","Settings","Settings"
"N_Statistics.Content","Statistics","Statistics"
"RI_No","No","No"
"RI_Title.Text","Are you enjoying Aquile Reader?","Are you enjoying Aquile Reader?"
"RI_Title2","Would you spare a moment to rate us on the store?","Would you spare a moment to rate us on the store?"
"RI_Title3","Would you like to share some feedback with us?","Would you like to share some feedback with us?"
"RI_Yes.Content","Yes","Yes"
"S_ActSub","Active subscription","Active subscription"
"S_ActSub_Msg1","Looks like you already have an active subscription, make sure to cancel it to avoid additional billing.","Looks like you already have an active subscription, make sure to cancel it to avoid additional billing."
"S_AddMore","Add more ...","Add more ..."
"S_AddSite_Err1","Title cannot be empty","Title cannot be empty"
"S_AddSite_Err2","Title length can be up-to 100 chars","Title length can be up-to 100 chars"
"S_AdMsg1","Upgrade to PREMIUM version","Upgrade to PREMIUM version"
"S_AdMsg2","To remove Ads and get additional features, click here.","To remove Ads and get additional features, click here."
"S_All","All","All"
"S_AppWidthBookInfo","App window width too small to open Book info pane.","App window width too small to open Book info pane."
"S_AppWidthLess","App window width too less.","App window width too less."
"S_AS_AvgPagePerHr","Avg. number of pages flipped per hour","Avg. number of pages flipped per hour"
"S_AS_AvgReadHours","Avg. reading hours per day","Avg. reading hours per day"
"S_AS_AvgTimePerPage","Avg. reading time (sec) per page","Avg. reading time (sec) per page"
"S_AS_Msg1","Are you sure you want to clear all statistics?","Are you sure you want to clear all statistics?"
"S_AS_NumBooksLib","Number of books in library","Number of books in library"
"S_AS_NumBooksRead","Number of books read","Number of books read"
"S_AS_NumPagesTurned","Number of pages flipped","Number of pages flipped"
"S_AS_SpeedWPM","Reading speed (words per minute)","Reading speed (words per minute)"
"S_AS_TotalReadHours","Total reading hours","Total reading hours"
"S_B_Close","Close","Close"
"S_B_OnlineBookContent1","Select the website from where you want to download the eBook.
[1/4]","Select the website from where you want to download the eBook.
[1/4]"
"S_B_OnlineBookContent2","Browse the catalog and click on any eBook download link. App will download the book and add it to the library.
[2/4]","Browse the catalog and click on any eBook download link. App will download the book and add it to the library.
[2/4]"
"S_B_OnlineBookContent3","Your downloads would appear here.
[3/4]","Your downloads would appear here.
[3/4]"
